,Names,Personality traits,images
0,"
1. 
 Amitabh Bachchan
 ",https://www.imdb.com/name/nm0000821//name/nm0000821/,"https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY209_CR6,0,140,209_AL_.jpg"
1,"
2. 
 Rajesh Khanna
 ",https://www.imdb.com/name/nm0000821//name/nm0000821,"https://m.media-amazon.com/images/M/MV5BMTQ1OTE5NDEwNV5BMl5BanBnXkFtZTcwNjgzMTcxOA@@._V1_UY209_CR2,0,140,209_AL_.jpg"
2,"
3. 
 Aamir Khan
 ",https://www.imdb.com/name/nm0000821//name/nm0045394,"https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
3,"
4. 
 Dharmendra
 ",https://www.imdb.com/name/nm0000821//name/nm0004435/,"https://m.media-amazon.com/images/M/MV5BMTk0ODU5NjAzMl5BMl5BanBnXkFtZTcwNDYyOTM5NA@@._V1_UY209_CR87,0,140,209_AL_.jpg"
4,"
5. 
 Amrish Puri
 ",https://www.imdb.com/name/nm0000821//name/nm0004435,"https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg"
5,"
6. 
 Naseeruddin Shah
 ",https://www.imdb.com/name/nm0000821//name/nm0451148/,"https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY209_CR12,0,140,209_AL_.jpg"
6,"
7. 
 Om Puri
 ",https://www.imdb.com/name/nm0000821//name/nm0451148,"https://m.media-amazon.com/images/M/MV5BMTc4MjA5ODY4NF5BMl5BanBnXkFtZTcwNjUyMDUxMQ@@._V1_UY209_CR6,0,140,209_AL_.jpg"
7,"
8. 
 Pran
 ",https://www.imdb.com/name/nm0000821//name/nm0004429/,"https://m.media-amazon.com/images/M/MV5BMTQ1MDc2Mjc2OF5BMl5BanBnXkFtZTcwMTc1MDU4OQ@@._V1_UY209_CR6,0,140,209_AL_.jpg"
8,"
9. 
 Shashi Kapoor
 ",https://www.imdb.com/name/nm0000821//name/nm0004429,"https://m.media-amazon.com/images/M/MV5BNTcyNDUwNzEzNl5BMl5BanBnXkFtZTgwOTMxMjMzOTE@._V1_UY209_CR36,0,140,209_AL_.jpg"
9,"
10. 
 Pankaj Kapur
 ",https://www.imdb.com/name/nm0000821//name/nm0700869/,"https://m.media-amazon.com/images/M/MV5BZTY2NjI0ZjYtMDM2My00ZjE1LWFiNmQtYWI3OGY2NDgwNTE3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg"
